title,description,videoId,thumbnails,channelName,channelId,channelUrl,verified,publishedText,publishedDate,viewsText,views,videoUrl,duration,durationText,isShort
Broken Halos,"Provided to YouTube by Universal Music Group

Broken Halos · Chris Stapleton

2018 Award Nominees

℗ 2017 Mercury Records, a Division of UMG Recordings, Inc.

Released on: 2018-01-19

Producer:...",An3OhxlfjAs,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/An3OhxlfjAs/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/An3OhxlfjAs/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/An3OhxlfjAs/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/An3OhxlfjAs/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/An3OhxlfjAs/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/An3OhxlfjAs/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/An3OhxlfjAs/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/An3OhxlfjAs/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/An3OhxlfjAs/3.jpg', 'width': 120, 'height': 90}]",Chris Stapleton,UCsdXkstc8jFC3zpMYdEz_zA,https://www.youtube.com/channel/UCsdXkstc8jFC3zpMYdEz_zA,False,3 days ago,2025-09-26T20:00:09.069Z,"42,852 views",42852,https://www.youtube.com/watch?v=An3OhxlfjAs,180,3:00,False
The Raja Saab Telugu Trailer | Prabhas | Maruthi | Thaman S | TG Vishwa Prasad | Jan 9 2026,"Enter the world of The RajaSaab. Biggest Horror Fantasy, Trailer is here…. 𝐀 𝐑𝐞𝐛𝐞𝐥’𝐬 𝐄𝐧𝐭𝐞𝐫𝐭𝐚𝐢𝐧𝐦𝐞𝐧𝐭 𝐄𝐱𝐩𝐥𝐨𝐝𝐞𝐬...",i-8w5yDwukA,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/i-8w5yDwukA/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/i-8w5yDwukA/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/i-8w5yDwukA/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/i-8w5yDwukA/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/i-8w5yDwukA/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/i-8w5yDwukA/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/i-8w5yDwukA/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/i-8w5yDwukA/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/i-8w5yDwukA/3.jpg', 'width': 120, 'height': 90}]",People Media Factory,UCrzx3ZPXEZpzEGLF1gIuORQ,https://www.youtube.com/@PeopleMediaFactory,True,7 hours ago,2025-09-29T13:00:09.104Z,"5,840,790 views",5840790,https://www.youtube.com/watch?v=i-8w5yDwukA,214,3:34,False
Hay Day Has NEVER Been This Spooky! 👻,"Claim the QR code: https://link.haydaygame.com/?action=voucher&code=d4916b22-c4d6-4d36-99b6-037a9fcce237

Best. Farm. Ever. Welcome to Hay Day, the most popular farming game on mobiles and...",V6CjTJ31fos,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/V6CjTJ31fos/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/V6CjTJ31fos/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/V6CjTJ31fos/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/V6CjTJ31fos/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/V6CjTJ31fos/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/V6CjTJ31fos/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/V6CjTJ31fos/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/V6CjTJ31fos/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/V6CjTJ31fos/3.jpg', 'width': 120, 'height': 90}]",Hay Day,UCBrMq7wkdPWb3PxR-GUR61A,https://www.youtube.com/@hayday,True,12 hours ago,2025-09-29T08:00:09.104Z,"1,014,017 views",1014017,https://www.youtube.com/watch?v=V6CjTJ31fos,171,2:51,False
"에스쿱스X민규 (SEVENTEEN) '5, 4, 3 (Pretty woman) (feat. Lay Bankz)' Official MV","에스쿱스X민규 (SEVENTEEN) '5, 4, 3 (Pretty woman) (feat. Lay Bankz)' Official MV

Credits:

Producer｜HAN SUNGSOO

[KOR CREW]

CREATIVE PRODUCTION｜MYAMYA

DIRECTOR｜Daehee Han
ASSISTANT...",u89aNeJlyg0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/u89aNeJlyg0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/u89aNeJlyg0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/u89aNeJlyg0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/u89aNeJlyg0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/u89aNeJlyg0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/u89aNeJlyg0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/u89aNeJlyg0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/u89aNeJlyg0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/u89aNeJlyg0/3.jpg', 'width': 120, 'height': 90}]",HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,https://www.youtube.com/@HYBELABELS,True,11 hours ago,2025-09-29T09:00:09.104Z,"2,153,797 views",2153797,https://www.youtube.com/watch?v=u89aNeJlyg0,234,3:54,False
Teemo Gameplay Reveal Trailer | 2XKO,"Reporting for duty. Teemo’s the 10th champ to hit the 2XKO roster.

Play Teemo when 2XKO hits Early Access on October 7, 2025. Learn more at: https://2xko.riotgames.com/en-us/ 

2XKO is a...",A8-Uw_sypMs,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/A8-Uw_sypMs/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/A8-Uw_sypMs/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/A8-Uw_sypMs/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/A8-Uw_sypMs/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/A8-Uw_sypMs/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/A8-Uw_sypMs/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/A8-Uw_sypMs/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/A8-Uw_sypMs/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/A8-Uw_sypMs/3.jpg', 'width': 120, 'height': 90}]",2XKO,UCYRkq7GwQm0ezrhFJOZPO9Q,https://www.youtube.com/@2XKO,False,4 hours ago,2025-09-29T16:00:09.104Z,"169,178 views",169178,https://www.youtube.com/watch?v=A8-Uw_sypMs,140,2:20,False
Trying The Most INSANE SKATE Challenge,"On September 18th, SMii7Y and Puffer attempted the unthinkable in SKATE

Use code S7 on Gamer Supps for 10% OFF your order
Get my GamerSupps flavor, GOOD here!: https://gamersupps.gg/s7

Check...",OUptOOIqM94,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/OUptOOIqM94/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/OUptOOIqM94/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/OUptOOIqM94/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/OUptOOIqM94/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/OUptOOIqM94/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/OUptOOIqM94/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/OUptOOIqM94/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/OUptOOIqM94/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/OUptOOIqM94/3.jpg', 'width': 120, 'height': 90}]",SMii7Y,UCzXwjTI6c6mVn6oui_p6oiw,https://www.youtube.com/@SMii7Y,True,23 hours ago,2025-09-28T21:00:09.104Z,"710,456 views",710456,https://www.youtube.com/watch?v=OUptOOIqM94,1156,19:16,False
Ghost - Chapter 22: Now What?!,"[MESSAGE FROM THE CLERGY]

We wish to inform you that as demand grows ever larger for this most surreal of rituals, so too does one's opportunity to experience it firsthand.  In 2026 have your...",AJ8m86Lo4rg,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/AJ8m86Lo4rg/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/AJ8m86Lo4rg/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/AJ8m86Lo4rg/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/AJ8m86Lo4rg/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/AJ8m86Lo4rg/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/AJ8m86Lo4rg/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/AJ8m86Lo4rg/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/AJ8m86Lo4rg/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/AJ8m86Lo4rg/3.jpg', 'width': 120, 'height': 90}]",Ghost,UCAOiVaJJlH0Oduv48NN0mMA,https://www.youtube.com/channel/UCAOiVaJJlH0Oduv48NN0mMA,False,6 hours ago,2025-09-29T14:00:09.104Z,"64,075 views",64075,https://www.youtube.com/watch?v=AJ8m86Lo4rg,246,4:06,False
Jay Kelly | Official Trailer | Netflix,"Famous movie actor Jay Kelly embarks on a journey of self-discovery, confronting his past and present with his devoted manager Ron. Poignant and humor-filled, pitched at the intersection of...",I8GbcVkqZwQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/I8GbcVkqZwQ/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/I8GbcVkqZwQ/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/I8GbcVkqZwQ/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/I8GbcVkqZwQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/I8GbcVkqZwQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/I8GbcVkqZwQ/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/I8GbcVkqZwQ/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/I8GbcVkqZwQ/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/I8GbcVkqZwQ/3.jpg', 'width': 120, 'height': 90}]",Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,https://www.youtube.com/@Netflix,True,8 hours ago,2025-09-29T12:00:09.104Z,"156,483 views",156483,https://www.youtube.com/watch?v=I8GbcVkqZwQ,176,2:56,False
GTA5 - Prepping the Prison Heist Again with Pasta! [Part 1],"Thanks to Rocket Money for sponsoring today's video! Try Rocket Money for free: https://rocketmoney.com/vanoss

Outro Song: https://www.youtube.com/watch?v=l0wzl0P06xA
Vanoss Merch HERE!: https://v...",dMGzZNryzNU,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/dMGzZNryzNU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/dMGzZNryzNU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/dMGzZNryzNU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/dMGzZNryzNU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/dMGzZNryzNU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/dMGzZNryzNU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/dMGzZNryzNU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/dMGzZNryzNU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/dMGzZNryzNU/3.jpg', 'width': 120, 'height': 90}]",VanossGaming,UCKqH_9mk1waLgBiL2vT5b9g,https://www.youtube.com/@VanossGaming,True,16 hours ago,2025-09-29T04:00:09.104Z,"427,779 views",427779,https://www.youtube.com/watch?v=dMGzZNryzNU,2046,34:06,False
Don Omar - Danza Kuduro (Letra) ft. Lucenzo,"Danza Kuduro - Don Omar ft. Lucenzo (Letra/Lyrics)

Mira el vídeo oficial: https://www.youtube.com/watch?v=7zp1TbLFPp8

🎧Sigue a Don Omar:
Youtube: https://www.youtube.com/channel/UCD6aIT1MqFEw...",fv_xNTrlJZs,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/fv_xNTrlJZs/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/fv_xNTrlJZs/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/fv_xNTrlJZs/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/fv_xNTrlJZs/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/fv_xNTrlJZs/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/fv_xNTrlJZs/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/fv_xNTrlJZs/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/fv_xNTrlJZs/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/fv_xNTrlJZs/3.jpg', 'width': 120, 'height': 90}]",Keller Lyrics,UCFUf4c4_fgXfoNnvbEpcaeg,https://www.youtube.com/@KellerLyrics,False,2 days ago,2025-09-27T20:00:09.104Z,"829,473 views",829473,https://www.youtube.com/watch?v=fv_xNTrlJZs,199,3:19,False
