title,description,videoId,thumbnails,channelName,channelId,channelUrl,verified,publishedText,publishedDate,viewsText,views,videoUrl,duration,durationText,isShort
Morgan Wallen - I Got Better (Official Music Video),"Listen to Morgan Wallen's new album, “I’m The Problem” here: https://morganwallen.lnk.to/ImTheProblemAlbum 

Stay connected for exclusive updates:
▸Mailing List & Text Sign Up: https://Morg...",hwUixddbmrQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/hwUixddbmrQ/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/hwUixddbmrQ/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/hwUixddbmrQ/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/hwUixddbmrQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/hwUixddbmrQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/hwUixddbmrQ/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/hwUixddbmrQ/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/hwUixddbmrQ/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/hwUixddbmrQ/3.jpg', 'width': 120, 'height': 90}]",Morgan Wallen,UCzIyoPv6j1MAZpDHKLGP_eA,https://www.youtube.com/channel/UCzIyoPv6j1MAZpDHKLGP_eA,False,1 day ago,2025-10-01T20:00:10.088Z,"887,403 views",887403,https://www.youtube.com/watch?v=hwUixddbmrQ,213,3:33,False
Hazbin Hotel - Season 2 Official Trailer | Prime Video,"Resistance, redemption…and rousing musical numbers! Hazbin Hotel’s grand re-opening begins October 29. Hazbin Guarantee (Trust Us) is now available to stream everywhere. Pre-save the soundtrack...",jvb6b-9vq2U,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/jvb6b-9vq2U/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/jvb6b-9vq2U/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/jvb6b-9vq2U/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/jvb6b-9vq2U/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/jvb6b-9vq2U/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/jvb6b-9vq2U/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/jvb6b-9vq2U/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/jvb6b-9vq2U/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/jvb6b-9vq2U/3.jpg', 'width': 120, 'height': 90}]",Vivziepop,UCzfyYtgvkx5mLy8nlLlayYg,https://www.youtube.com/@SpindleHorse,True,1 day ago,2025-10-01T20:00:10.092Z,"1,644,276 views",1644276,https://www.youtube.com/watch?v=jvb6b-9vq2U,151,2:31,False
HYPE AND SCREAMING FOR 47MINS | Ghost of Yotei [1],"Thanks PlayStation for the early game code!
WELCOME, to Ghost of Yotei! LETS GOOOOOOO!!!1!!!1
READ MY MANGA: https://monsterswemake.com/
Official CxK Merchandise: https://coryxkenshin.com/...",I167S6HZcWI,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/I167S6HZcWI/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/I167S6HZcWI/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/I167S6HZcWI/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/I167S6HZcWI/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/I167S6HZcWI/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/I167S6HZcWI/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/I167S6HZcWI/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/I167S6HZcWI/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/I167S6HZcWI/3.jpg', 'width': 120, 'height': 90}]",CoryxKenshin,UCiYcA0gJzg855iSKMrX3oHg,https://www.youtube.com/@CoryxKenshin,True,19 hours ago,2025-10-02T01:00:10.092Z,"1,414,217 views",1414217,https://www.youtube.com/watch?v=I167S6HZcWI,2834,47:14,False
"Metro Boomin - Take Me Thru Dere ft. Quavo, Breskii, YK Niece, & DJ Spinz (Official Music Video)","Official music video for ""Take Me Thru Dere"", available everywhere now: https://MetroBoomin.lnk.to/AFS

Connect with Metro Boomin:
https://twitter.com/metroboomin
https://www.instagram.com/metroboo...",iUZyn_w6Y1Q,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/iUZyn_w6Y1Q/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/iUZyn_w6Y1Q/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/iUZyn_w6Y1Q/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/iUZyn_w6Y1Q/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/iUZyn_w6Y1Q/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/iUZyn_w6Y1Q/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/iUZyn_w6Y1Q/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/iUZyn_w6Y1Q/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/iUZyn_w6Y1Q/3.jpg', 'width': 120, 'height': 90}]",Metro Boomin,UCKC11MOR51CLg4JpYj8jb4g,https://www.youtube.com/channel/UCKC11MOR51CLg4JpYj8jb4g,False,1 day ago,2025-10-01T20:00:10.092Z,"181,223 views",181223,https://www.youtube.com/watch?v=iUZyn_w6Y1Q,163,2:43,False
Frankenstein | Guillermo del Toro | Official Trailer | Netflix,"Written and directed by Guillermo del Toro, FRANKENSTEIN is on Netflix November 7. Starring Oscar Isaac, Jacob Elordi, Mia Goth, Felix Kammerer, with Charles Dance, and Christoph Waltz.

Oscar-winn...",8aulMPhE12g,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/8aulMPhE12g/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/8aulMPhE12g/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/8aulMPhE12g/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/8aulMPhE12g/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/8aulMPhE12g/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/8aulMPhE12g/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/8aulMPhE12g/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/8aulMPhE12g/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/8aulMPhE12g/3.jpg', 'width': 120, 'height': 90}]",Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,https://www.youtube.com/@Netflix,True,1 day ago,2025-10-01T20:00:10.092Z,"3,119,084 views",3119084,https://www.youtube.com/watch?v=8aulMPhE12g,143,2:23,False
It's Time to Settle the Score - The Revenge Room,"Ten years of waiting and now the button works. That's on us. Push it to settle the score.
📅 10.5.2025

Follow us on our Socials!
Twitter ► https://twitter.com/ClashofClans/
Instagram ►...",AkqDFXqQi8k,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/AkqDFXqQi8k/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/AkqDFXqQi8k/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/AkqDFXqQi8k/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/AkqDFXqQi8k/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/AkqDFXqQi8k/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/AkqDFXqQi8k/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/AkqDFXqQi8k/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/AkqDFXqQi8k/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/AkqDFXqQi8k/3.jpg', 'width': 120, 'height': 90}]",Clash of Clans,UCD1Em4q90ZUK2R5HKesszJg,https://www.youtube.com/@ClashOfClans,True,10 hours ago,2025-10-02T10:00:10.092Z,"1,092,947 views",1092947,https://www.youtube.com/watch?v=AkqDFXqQi8k,24,0:24,False
Fuk Em,"Provided to YouTube by Artist Partner Group Inc.

Fuk Em · Kevin Gates

Fuk Em

℗ Bread Winner Alumni LLC under exclusive license to Artist Partner Group, Inc.

Released on: 2025-10-01
...",MvDZ7-vOERc,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/MvDZ7-vOERc/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/MvDZ7-vOERc/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/MvDZ7-vOERc/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/MvDZ7-vOERc/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/MvDZ7-vOERc/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/MvDZ7-vOERc/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/MvDZ7-vOERc/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/MvDZ7-vOERc/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/MvDZ7-vOERc/3.jpg', 'width': 120, 'height': 90}]",kevingatesTV,UCj2GTFekdV3EUsTVN8oaEqA,https://www.youtube.com/channel/UCj2GTFekdV3EUsTVN8oaEqA,False,2 days ago,2025-09-30T20:00:10.094Z,"261,803 views",261803,https://www.youtube.com/watch?v=MvDZ7-vOERc,167,2:47,False
Landman Season 2 Official Trailer | Paramount+,"Who's ready for more Landman?! The official trailer is here, and the stakes are higher than ever. Season 2 premieres November 16, 2025, only on Paramount+.

#Landman #ParamountPlus

Paramount+...",C1as_hRbBZg,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/C1as_hRbBZg/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/C1as_hRbBZg/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/C1as_hRbBZg/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/C1as_hRbBZg/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/C1as_hRbBZg/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/C1as_hRbBZg/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/C1as_hRbBZg/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/C1as_hRbBZg/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/C1as_hRbBZg/3.jpg', 'width': 120, 'height': 90}]",Landman Official,UCdnOvN4AQc_qM96XwmcbPEA,https://www.youtube.com/@landmanpplus,True,1 day ago,2025-10-01T20:00:10.094Z,"1,674,561 views",1674561,https://www.youtube.com/watch?v=C1as_hRbBZg,150,2:30,False
Is Xbox Dead,"Get Goof Juice and use code MOIST https://gamersupps.gg/moist
Our soap https://usecheeky.com/#starter-pack-offer
Starforge PC https://starforgepc.com/moist-yt
Gaming channel https://www.youtube.com...",BwbUK4k0N4M,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/BwbUK4k0N4M/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/BwbUK4k0N4M/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/BwbUK4k0N4M/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/BwbUK4k0N4M/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/BwbUK4k0N4M/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/BwbUK4k0N4M/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/BwbUK4k0N4M/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/BwbUK4k0N4M/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/BwbUK4k0N4M/3.jpg', 'width': 120, 'height': 90}]",penguinz0,UCq6VFHwMzcMXbuKyG7SQYIg,https://www.youtube.com/@penguinz0,True,20 hours ago,2025-10-02T00:00:10.094Z,"1,435,563 views",1435563,https://www.youtube.com/watch?v=BwbUK4k0N4M,560,9:20,False
"Screwly G - ""Reaper"" (Official Video)","Screwly G - ""Reaper"" (Official Video)

Screwly G Social Media : 
https://www.instagram.com/stkkscrewlyg/
https://www.instagram.com/ttascrewly/",vtETYPwXYFg,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/vtETYPwXYFg/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/vtETYPwXYFg/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/vtETYPwXYFg/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/vtETYPwXYFg/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/vtETYPwXYFg/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/vtETYPwXYFg/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/vtETYPwXYFg/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/vtETYPwXYFg/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/vtETYPwXYFg/3.jpg', 'width': 120, 'height': 90}]",Screwly G,UCORaORpqSNIakHaVBuTXwyw,https://www.youtube.com/@screwlyg6018,False,18 hours ago,2025-10-02T02:00:10.094Z,"80,358 views",80358,https://www.youtube.com/watch?v=vtETYPwXYFg,143,2:23,False
