title,description,videoId,thumbnails,channelName,channelId,channelUrl,verified,publishedText,publishedDate,viewsText,views,videoUrl,duration,durationText,isShort
Taylor Swift - The Fate of Ophelia (Official Music Video),"The official music video for “The Fate of Ophelia”

Stream/download ‘The Life of a Showgirl’: https://taylor.lnk.to/TSTheLifeofaShowgirl

►Subscribe to Taylor Swift on YouTube: https://ts...",ko70cExuzZM,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/ko70cExuzZM/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/ko70cExuzZM/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/ko70cExuzZM/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/ko70cExuzZM/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/ko70cExuzZM/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/ko70cExuzZM/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/ko70cExuzZM/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/ko70cExuzZM/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/ko70cExuzZM/3.jpg', 'width': 120, 'height': 90}]",Taylor Swift,UCqECaJ8Gagnn7YCbPEzWH6g,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,False,2 days ago,2025-10-06T20:00:08.219Z,"24,460,552 views",24460552,https://www.youtube.com/watch?v=ko70cExuzZM,239,3:59,False
The Witcher: Season 4 | Official Trailer | Netflix,"After the Continent-altering events of Season Three, Geralt, Yennefer, and Ciri find themselves separated by a raging war and countless enemies. As their paths diverge, and their goals sharpen,...",HK9dU6JIroU,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/HK9dU6JIroU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/HK9dU6JIroU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/HK9dU6JIroU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/HK9dU6JIroU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/HK9dU6JIroU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/HK9dU6JIroU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/HK9dU6JIroU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/HK9dU6JIroU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/HK9dU6JIroU/3.jpg', 'width': 120, 'height': 90}]",Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,https://www.youtube.com/@Netflix,True,1 day ago,2025-10-07T20:00:08.219Z,"619,286 views",619286,https://www.youtube.com/watch?v=HK9dU6JIroU,150,2:30,False
Concord devs are back..,"Asmongold reacts to @HeroHei https://www.youtube.com/watch?v=xe8mJCSzko8
► Asmongold's Twitch: https://www.twitch.tv/zackrawrr
► Asmongold's X: https://x.com/asmongold
► Asmongold's Kick:...",NSBiFqyLi1U,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/NSBiFqyLi1U/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/NSBiFqyLi1U/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/NSBiFqyLi1U/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/NSBiFqyLi1U/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/NSBiFqyLi1U/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/NSBiFqyLi1U/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/NSBiFqyLi1U/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/NSBiFqyLi1U/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/NSBiFqyLi1U/3.jpg', 'width': 120, 'height': 90}]",Asmongold TV  ,UCQeRaTukNYft1_6AZPACnog,https://www.youtube.com/@AsmonTV,True,16 hours ago,2025-10-08T04:00:08.219Z,"813,907 views",813907,https://www.youtube.com/watch?v=NSBiFqyLi1U,1278,21:18,False
Gorillaz - The Manifesto ft. Trueno & Proof (Official Visualiser),"The Mountain, new album out 20th March.

The Manifesto features Argentinian rapper Trueno and the late Detroit-born D12 rapper Proof, alongside sarod players Amaan Ali Bangash and Ayaan Ali...",6JIv1l96zN0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/6JIv1l96zN0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/6JIv1l96zN0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/6JIv1l96zN0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/6JIv1l96zN0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/6JIv1l96zN0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/6JIv1l96zN0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/6JIv1l96zN0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/6JIv1l96zN0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/6JIv1l96zN0/3.jpg', 'width': 120, 'height': 90}]",Gorillaz and Trueno,N/A,https://www.youtube.com/u/undefined,False,3 hours ago,2025-10-08T17:00:08.219Z,"143,405 views",143405,https://www.youtube.com/watch?v=6JIv1l96zN0,440,7:20,False
Playdate - Official Trailer | Prime Video,"An afternoon playdate between two stay-at-home dads (Kevin James and Alan Ritchson) turns into high-stakes chaos. Stream the movie November 12, on Prime Video.

» SUBSCRIBE: http://bit.ly/PrimeVid...",xGTq0blCPVQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/xGTq0blCPVQ/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/xGTq0blCPVQ/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/xGTq0blCPVQ/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/xGTq0blCPVQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/xGTq0blCPVQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/xGTq0blCPVQ/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/xGTq0blCPVQ/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/xGTq0blCPVQ/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/xGTq0blCPVQ/3.jpg', 'width': 120, 'height': 90}]",Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,https://www.youtube.com/@PrimeVideo,True,6 hours ago,2025-10-08T14:00:08.219Z,"781,685 views",781685,https://www.youtube.com/watch?v=xGTq0blCPVQ,156,2:36,False
Taco Tuesday ADMIN ABUSE + Witch's Fuse!,"🤯NEW HOODIE & PLUSHIE
https://shopcaylus.com

🎯 Play Waterpark Simulator NOW! 
https://store.steampowered.com/app/3293260/Waterpark_Simulator/
 ⭐️ Play Waterpark Simulator DEMO NOW!...",dsgHGpfPQzo,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/dsgHGpfPQzo/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/dsgHGpfPQzo/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/dsgHGpfPQzo/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/dsgHGpfPQzo/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/dsgHGpfPQzo/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/dsgHGpfPQzo/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/dsgHGpfPQzo/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/dsgHGpfPQzo/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/dsgHGpfPQzo/3.jpg', 'width': 120, 'height': 90}]",CaylusBlox,UCsPMNatXCwqyUuJilBT73jg,https://www.youtube.com/@caylusblox,True,Streamed 21 hours ago,2025-10-07T23:00:08.219Z,"2,479,529 views",2479529,https://www.youtube.com/watch?v=dsgHGpfPQzo,12573,3:29:33,False
bbno$ - ADD (official music video),"album out in 10 days i love yall https://broke.ffm.to/bbno

animators:

@teetoosneesnoo
@art_by_elliee
@fogmilo
@erin_aguilar
@elimations
@airdays11
@vert.team42
@yh_nachoyoki
@baphylamb
@sillygirl...",dYIqX7ZLMyE,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/dYIqX7ZLMyE/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/dYIqX7ZLMyE/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/dYIqX7ZLMyE/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/dYIqX7ZLMyE/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/dYIqX7ZLMyE/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/dYIqX7ZLMyE/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/dYIqX7ZLMyE/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/dYIqX7ZLMyE/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/dYIqX7ZLMyE/3.jpg', 'width': 120, 'height': 90}]",bbno$,UCC8FSfSnbjiZ6vGr68ZLtzg,https://www.youtube.com/channel/UCC8FSfSnbjiZ6vGr68ZLtzg,False,1 day ago,2025-10-07T20:00:08.219Z,"374,682 views",374682,https://www.youtube.com/watch?v=dYIqX7ZLMyE,130,2:10,False
Wicked: For Good | Get Tickets Now,"Return to the magical world of Oz ✨ Get your tickets NOW for #WickedForGood http://wickedmovie.com/tickets 

Pre-order Wicked: For Good - The Soundtrack 💚🩷 available November 21st at...",edCG_LBPojA,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/edCG_LBPojA/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/edCG_LBPojA/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/edCG_LBPojA/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/edCG_LBPojA/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/edCG_LBPojA/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/edCG_LBPojA/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/edCG_LBPojA/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/edCG_LBPojA/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/edCG_LBPojA/3.jpg', 'width': 120, 'height': 90}]",Wicked: For Good,UCaQrizl9bDFsbl0wSZHa3pQ,https://www.youtube.com/c/wickedmovie,False,7 hours ago,2025-10-08T13:00:08.219Z,"111,650 views",111650,https://www.youtube.com/watch?v=edCG_LBPojA,64,1:04,False
I Upgraded My OWN BRAINROT…,"Today I Upgraded my very own brainrot. Make sure you watch the whole video to find out what happens.

Merch: https://foltyn.shop/

Join this channel to get access to perks:
https://www.youtube.com/...",vBZjbbOCndw,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/vBZjbbOCndw/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/vBZjbbOCndw/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/vBZjbbOCndw/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/vBZjbbOCndw/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/vBZjbbOCndw/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/vBZjbbOCndw/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/vBZjbbOCndw/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/vBZjbbOCndw/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/vBZjbbOCndw/3.jpg', 'width': 120, 'height': 90}]",Foltyn,UCRkuUgtDAL4XSU5jB40J_wA,https://www.youtube.com/@FoltynFamily,True,5 hours ago,2025-10-08T15:00:08.219Z,"733,625 views",733625,https://www.youtube.com/watch?v=vBZjbbOCndw,1003,16:43,False
Beéle - quédate (Letra/Lyrics),"🔥 Beéle - quédate - https://youtu.be/0ElD2qJ5ZoU
▶️ Escúchalo Aquí: https://open.spotify.com/intl-es/track/6VfL3MEuYeJbDlD8m011HR?autoplay=true
🎧 Playlist en Spotify: https://sptfy.co...",zRJ6q_MbSSA,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/zRJ6q_MbSSA/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/zRJ6q_MbSSA/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/zRJ6q_MbSSA/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/zRJ6q_MbSSA/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/zRJ6q_MbSSA/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/zRJ6q_MbSSA/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/zRJ6q_MbSSA/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/zRJ6q_MbSSA/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/zRJ6q_MbSSA/3.jpg', 'width': 120, 'height': 90}]",RegueZone,UCAg5-sf8xDwvu9DBAzLQtBg,https://www.youtube.com/@RegueZone,False,2 days ago,2025-10-06T20:00:08.219Z,"266,681 views",266681,https://www.youtube.com/watch?v=zRJ6q_MbSSA,177,2:57,False
